Date,Type,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Amount,Fee Currency,Tag
10/11/2023 21:01:05,TRADE,7,AVAX,89.299903,CAD,,,
10/11/2023 19:48:59,TRADE,10,LINK,101.97705,CAD,,,
10/11/2023 19:26:09,TRADE,167.699921,MANA,64.36559927968374,CAD,,,
10/11/2023 19:09:20,TRADE,10000674,SHIB,93.29899793,CAD,,,
10/11/2023 19:07:21,TRADE,5,SOL,151.07231,CAD,,,
10/11/2023 19:07:04,TRADE,1.000260383,QNT,120.09297300448297,CAD,,,
10/11/2023 19:02:37,TRADE,309.2720387,CAD,0.0086,BTC,,,
10/11/2023 19:00:25,TRADE,231.3669389,CAD,0.11,ETH,,,
10/11/2023 18:57:25,DEPOSIT,0.0086,BTC,,,,,
10/11/2023 18:47:18,DEPOSIT,0.11,ETH,,,,,
10/05/2023 18:05:19,TRADE,100,MATIC,76.052935,CAD,,,
10/02/2023 18:55:52,TRADE,20,ARB,25.794195,CAD,,,
10/02/2023 14:39:20,TRADE,0.100175,BCH,34.8530563,CAD,,,
10/01/2023 21:16:35,TRADE,0.299825709,BCH,99.78754276409835,CAD,,,
09/27/2023 21:05:06,TRADE,200,ADA,66.78497,CAD,,,
09/27/2023 16:36:50,TRADE,500,XLM,76.886137,CAD,,,
09/27/2023 16:36:17,TRADE,1000,DOGE,82.78137,CAD,,,
09/27/2023 15:52:10,TRADE,10,UNI,58.23664,CAD,,,
09/27/2023 14:25:43,TRADE,1000,HBAR,67.43457,CAD,,,
09/27/2023 14:17:37,TRADE,500,XRP,344.425025,CAD,,,
09/27/2023 06:12:54,TRADE,1012.5706289556962,CAD,0.469,ETH,,,
09/25/2023 20:47:07,DEPOSIT,0.469,ETH,,,,,
,,,,,,,,
Notes:,,,,,,,,
"*In May 2022""", LUNA was renamed to LUNC. For tax reports, the new name, LUNC, will be applied retroactively to holdings and activity.,,,,
