"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status","CAD Value"
"2023-09-25 02:05:49","3706897346","ETHBTC","Limit","BUY","0.06027","0.5272ETH","2023-09-25 02:05:49","0.5272ETH","0.06026999","0.03177434BTC","FILLED","Price Unavailable"
"2023-09-25 02:04:56","3706897222","ETHBTC","Limit","BUY","0.06026","0.5273ETH","2023-09-25 02:05:36","0ETH","0","0BTC","CANCELED","Price Unavailable"
"2023-09-25 02:03:44","3706896668","ETHBTC","Limit","SELL","0.06026","0.3717ETH","2023-09-25 02:03:44","0.3717ETH","0.06025999","0.02239864BTC","FILLED","Price Unavailable"
"2023-09-25 02:02:33","447712715","LTCETH","Limit","SELL","0.04049","0.405LTC","2023-09-25 02:02:33","0.405LTC","0.04049","0.01639845ETH","FILLED","Price Unavailable"
"2023-09-25 02:02:05","480912167","DOGEBTC","Limit","SELL","0.00000232","477DOGE","2023-09-25 02:02:05","477DOGE","0.00000232","0.00110664BTC","FILLED","Price Unavailable"
"2023-09-25 02:01:06","188921499","HBARBTC","Limit","SELL","0.00000191","1254HBAR","2023-09-25 02:01:06","1254HBAR","0.00000191","0.00239514BTC","FILLED","Price Unavailable"
"2023-09-25 02:00:36","346661379","XMRETH","Limit","SELL","0.09104","0.591XMR","2023-09-25 02:00:36","0.591XMR","0.09104","0.05380464ETH","FILLED","Price Unavailable"
"2023-09-25 01:54:08","702011913","BNBETH","Limit","SELL","0.1321","0.197BNB","2023-09-25 01:54:08","0.197BNB","0.1321","0.0260237ETH","FILLED","Price Unavailable"
"2023-09-25 01:52:56","103270034","APEETH","Limit","SELL","0.000703","7.802APE","2023-09-25 01:52:56","7.802APE","0.000703","0.0054848ETH","FILLED","Price Unavailable"
"2023-09-25 01:52:17","319067858","THETAETH","Limit","SELL","0.0003992","5THETA","2023-09-25 01:52:17","5THETA","0.0003997","0.0019985ETH","FILLED","Price Unavailable"
"2023-09-25 01:51:54","87370664","RNDRBTC","Limit","SELL","0.0000592","11.66RNDR","2023-09-25 01:51:54","11.66RNDR","0.0000593","0.00069142BTC","FILLED","Price Unavailable"
"2023-09-25 01:51:33","108746537","SOLETH","Limit","SELL","0.01225","1.06SOL","2023-09-25 01:51:33","1.06SOL","0.01227","0.0130062ETH","FILLED","Price Unavailable"
"2023-09-25 01:51:20","112230863","DOTETH","Limit","SELL","0.002539","5.37DOT","2023-09-25 01:51:28","5.37DOT","0.002539","0.01363443ETH","FILLED","Price Unavailable"
"2023-09-25 01:51:04","556381876","ADAETH","Limit","SELL","0.0001545","96.7ADA","2023-09-25 01:51:04","96.7ADA","0.0001545","0.01494015ETH","FILLED","Price Unavailable"
"2023-09-25 01:50:43","447711995","LTCETH","Limit","SELL","0.04051","0.405LTC","2023-09-25 02:00:42","0LTC","0","0ETH","CANCELED","Price Unavailable"
"2023-09-25 01:50:16","82120761","SHIBDOGE","Limit","SELL","0.0001208","3949447SHIB","2023-09-25 01:56:10","3949447SHIB","0.0001208","477.0931976DOGE","FILLED","Price Unavailable"
"2023-09-25 01:48:46","480911273","DOGEBTC","Limit","SELL","0.00000232","500DOGE","2023-09-25 01:48:46","500DOGE","0.00000232","0.00116BTC","FILLED","Price Unavailable"
"2023-09-25 01:48:29","831836233","BCHBTC","Limit","SELL","0.00784","0.2BCH","2023-09-25 01:57:12","0.2BCH","0.00784","0.001568BTC","FILLED","Price Unavailable"
"2023-09-25 01:48:10","623219241","LINKETH","Limit","SELL","0.004536","6.48LINK","2023-09-25 01:48:10","6.48LINK","0.004537","0.02939976ETH","FILLED","Price Unavailable"
"2023-09-25 01:47:51","188920788","HBARBTC","Limit","SELL","0.00000192","1254HBAR","2023-09-25 02:00:42","0HBAR","0","0BTC","CANCELED","Price Unavailable"
"2023-09-25 01:47:00","143736356","QNTBTC","Limit","SELL","0.003367","0.736QNT","2023-09-25 01:47:00","0.736QNT","0.00337","0.00248032BTC","FILLED","Price Unavailable"
"2023-09-25 01:46:01","346660643","XMRETH","Limit","SELL","0.09119","0.591XMR","2023-09-25 01:59:23","0XMR","0","0ETH","CANCELED","Price Unavailable"
"2023-09-25 01:45:04","346660625","XMRETH","Limit","SELL","0.09119","0.591XMR","2023-09-25 01:45:38","0XMR","0","0ETH","CANCELED","Price Unavailable"
"2023-09-25 01:44:46","610673200","XRPETH","Limit","SELL","0.0003171","503XRP","2023-09-25 01:44:46","503XRP","0.0003171","0.1595013ETH","FILLED","Price Unavailable"
"2023-07-12 01:14:29","328003193","RNDRUSDT","Limit","BUY","2.018","11.66RNDR","2023-07-12 01:14:40","11.66RNDR","2.018","23.52988USDT","FILLED","Price Unavailable"
"2023-07-12 01:13:49","328002553","RNDRUSDT","Limit","BUY","2.017","11.67RNDR","2023-07-12 01:14:23","0RNDR","0","0USDT","CANCELED","Price Unavailable"
"2023-07-12 01:12:47","328001414","RNDRUSDT","Limit","BUY","2.017","11.67RNDR","2023-07-12 01:13:38","0RNDR","0","0USDT","CANCELED","Price Unavailable"
"2023-07-12 01:09:39","327999329","RNDRUSDT","Limit","BUY","2.012","11.7RNDR","2023-07-12 01:12:40","0RNDR","0","0USDT","CANCELED","Price Unavailable"
