"txid","ordertxid","pair","aclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","trades","Column K","Date","CAD Value"
"TF2M6D-67Y76-KML7JJ","OVGZVF-4CJSD-434TWV","ETH/BTC","forex","2017-12-22 08:30:51.377","sell","market","0.046910","0.004691","0.000012","0.10000000","0.000000","initiated","L7W3WX-3VMMC-IQI72I,LEETJF-RWIHC-4QTGU4","","","","","","","","","","0.004691BTC","2017-12-22 08:30:51.377","81.23"
"TSPNP5-PLO7P-JWILLJ","O3HT56-566NM-DL2IS2","XRP/BTC","forex","2017-12-22 08:34:49.451","buy","market","0.000068720","0.003436000","0.000008934","50.00000000","0.000000000","initiated","LF677H-66ONO-BXUL7E,L42EDK-TGTR4-ODC5AA","","","","","","","","","","0.003436000BTC","2017-12-22 08:34:49.451","59.50"
"TRO42X-LPBIN-OXLCWC","OCRBCJ-NLJ7N-O4ZWNK","ETC/ETH","forex","2017-12-22 08:42:32.7433","buy","market","0.04262600","0.01661561","0.00004320","0.38980000","0.00000000","initiated","LMHFF7-CO7EZ-XEO6VQ,LC7MJ4-WO6GF-U4EXOO","","","","","","","","","","0.01661561ETH","2017-12-22 08:42:32.7433","13.97"
"TAGHSL-M6QIL-OVP6W2","O6R4NU-2KPMV-PQ4LB2","LTC/BTC","forex","2017-12-24 00:05:12.9664","sell","market","0.01900700","0.00253629","0.00000659","0.13344000","0.00000000","initiated","LZHJUG-SO4IX-PV3NUV,LHU454-CUT5Q-4MMVAC","","","","","","","","","","0.00253629BTC","2017-12-24 00:05:12.9664","43.14"
"THS7VQ-SIFKY-S2R4KD","OD77TX-QOOQ4-MJH2YQ","DOGE/BTC","forex","2017-12-24 00:08:38.4953","buy","market","0.000000510","0.002550000","0.000006630","5000.00000000","0.000000000","initiated","LRGOSE-YXBWZ-D64XUG,L7BWQ5-WBDHU-WMVZFR","","","","","","","","","","0.002550000BTC","2017-12-24 00:08:38.4953","43.37"
"TGVF3E-JYRBQ-HAWWWX","O3RACN-J2VPY-7TLZQN","EOS/BTC","forex","2017-12-28 03:32:20.337","buy","market","0.00056000","0.00224000","0.00000582","4.00000000","0.00000000","initiated","L7N2X5-HGXYM-6AYNBF,L37HQR-S47UF-CBUGHC","","","","","","","","","","0.00224000BTC","2017-12-28 03:32:20.337","40.15"
"TND4K2-O76AK-LBJ5ZO","O3X4YU-OCP5X-4SS5NB","DOGE/BTC","forex","2017-12-29 20:34:49.048","sell","market","0.000000600","0.002400000","0.000006240","4000.00000000","0.000000000","initiated","LPZSSL-OOFZX-OWSWMM,LI3XKS-SJSAL-RDLJ2L","","","","","","","","","","0.002400000BTC","2017-12-29 20:34:49.048","43.72"
"TEBUQH-Y5TPZ-34DQXA","ODBQMW-VON5W-MJWDOB","LTC/BTC","forex","2017-12-29 20:36:05.2401","sell","market","0.01683400","0.00168347","0.00000438","0.10000400","0.00000000","initiated","LFNYJY-KTQW4-4VX6EV,LPM7J3-CYY4R-XDRDIK","","","","","","","","","","0.00168347BTC","2017-12-29 20:36:05.2401","30.66"
"TCWUXS-NEIOT-JWCCVN","OYGZZG-FKGXU-AVRE7B","ETC/BTC","forex","2017-12-29 20:38:11.5626","sell","market","0.00190200","0.00074140","0.00000193","0.38980000","0.00000000","initiated","LMR6SY-65W4A-3LVYRW,LU4O4Z-TRASH-A4E3GC","","","","","","","","","","0.00074140BTC","2017-12-29 20:38:11.5626","13.50"
"TP5SWL-MCPDQ-WHQHCS","OBIDLO-BDIF4-ESCJMS","ETH/BTC","forex","2017-12-29 20:39:59.3207","sell","market","0.050710","0.003043","0.000008","0.06000100","0.000000","initiated","LWR5ZC-7GIRX-6VYVPZ,L5QO63-5BJ2J-UVTA4L","","","","","","","","","","0.003043BTC","2017-12-29 20:39:59.3207","55.43"
"TOJBXS-MOO25-THLIT3","ODAK3O-DBCEL-X6YNWJ","XRP/BTC","forex","2017-12-29 20:42:50.7626","buy","limit","0.000129550","0.007934792","0.000020630","61.24887959","0.000000000","initiated","LT4MCN-B5L6E-FNRQD6,LYQOGA-Z7FGT-E4THH2","","","","","","","","","","0.007934792BTC","2017-12-29 20:42:50.7626","144.53"
